ID ;BLR-698;Black 101;Az-142N;SicL1600;H4G;EL9914;L3912C;L0962HD;CG GN;ZiePig G;SY3CN;L1100;L2110;L1010;HeG8735;By130M;By320;By316;By610;EP-28;EP08;Blue PigBL;DPP SR2P;VR F5RK;PO2930;CP4403;UV12;ChV5800;L;a;b
PR/1888/1;6.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;3.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;-1.2;-2.74
PR/1934/1;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.1;53.27;-8.86;-36.83
PR/1889/5;7.7;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.66;-1.36;-2.16
PR/1920/3;22.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.08;51.54;-11.31;-34.97
PR/1922/1;15.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.2;35.99;41.26
PR/1892/12;10.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;-0.32;0.15
PR/1884/1;7.5;3.7;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.04;-1.23;-2.36
PR/1918/1;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.58;-0.01;-1.04
PR/1931/3;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.6;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.91;-1.62;2.16
PR/1924/2;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.0;3.3;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.05;43.49;-7.67;-18.69
PR/1924/3;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.0;3.3;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.05;41.98;-7.22;-18.26
PR/1935/4;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;4.0;0.0;0.0;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;39.94;-6.66;-14.06
PR/1933/2;11.0;4.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.49;-0.38;-2.17
PR/1938/1;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.0;-4.75;0.25
PR/1893/3;13.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.52;-0.04;-3.12
PR/1931/2;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.6;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.62;-1.61;2.12
PR/1892/13;10.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.16;-0.27;0.2
PR/1889/1;6.75;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.02;-1.31;-2.2
PR/1937/3;10.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.51;-10.12;9.7
PR/1893/2;13.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.38;0.0;-3.35
PR/1884/10;9.0;3.7;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.93;-1.13;-2.17
PR/1922/2;15.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;62.33;29.87;49.1
PR/1918/3;0.5;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.1;0.03;-0.39
PR/1888/7;7.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.91;-1.31;-2.85
PR/1922/3;7.5;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;59.61;30.84;48.95
